night,n_bars_h1,n_bars_h2,h1_high,h1_low,entry_ts,entry_mid,entry_spread,exit_ts,exit_mid,exit_spread,midpoint,dev_pips,side,traded,entry_px,exit_px,gross_pips,spread_cost_pips,net_pips,year,mae_pips,mfe_pips,bars_in_trade
2024-08-06,240.0,240.0,1.0954800000000002,1.0883250000000002,2024-08-07 01:59:00+00:00,1.090855,0.0001962711864406,2024-08-06 05:59:00+00:00,1.0983850000000002,0.0002034999999999,1.0919025000000002,-10.47500000000312,BUY,True,1.0909531355932205,1.0982832500000002,75.30000000000258,3.997711864405,71.30228813559758,2024,0.0,0.0,0
2024-08-07,240.0,240.0,1.08914,1.08675,2024-08-08 01:59:00+00:00,1.08892,0.0001588059701492,2024-08-07 05:59:00+00:00,1.0893800000000002,0.0001403773584905,1.087945,9.750000000001702,SELL,True,1.0888405970149255,1.0894501886792456,-4.60000000000127,2.991833286397,-7.59183328639827,2024,0.0,0.0,0
2024-08-08,240.0,240.0,1.097775,1.094535,2024-08-09 01:59:00+00:00,1.094615,0.0001613207547169,2024-08-08 05:59:00+00:00,1.09199,0.0001758333333333,1.096155,-15.400000000000968,BUY,True,1.0946956603773583,1.0919020833333333,-26.24999999999877,3.371540880502,-29.62154088050077,2024,0.0,0.0,0
2024-08-14,239.0,240.0,1.10351,1.0969700000000002,2024-08-15 01:59:00+00:00,1.1029950000000002,0.000274074074074,2024-08-14 05:59:00+00:00,1.1022000000000003,0.0002401886792452,1.10024,27.55000000000063,SELL,True,1.1028579629629631,1.102320094339623,7.949999999998791,5.142627533192,2.8073724668067914,2024,0.0,0.0,0
2024-08-15,240.0,240.0,1.1057100000000002,1.1038450000000002,2024-08-16 01:59:00+00:00,1.10405,0.0001817777777777,2024-08-15 05:59:00+00:00,1.1021900000000002,0.0001811111111111,1.1047775000000002,-7.275000000002141,BUY,True,1.1041408888888888,1.1020994444444447,-18.599999999997507,3.628888888888,-22.228888888885507,2024,0.0,0.0,0
2024-08-19,238.0,240.0,1.101635,1.0983550000000002,2024-08-20 01:59:00+00:00,1.098805,0.0002387719298245,2024-08-19 05:59:00+00:00,1.099245,0.00017,1.099995,-11.900000000000244,BUY,True,1.0989243859649125,1.09916,4.39999999999996,4.087719298245,0.3122807017549593,2024,0.0,0.0,0
2024-08-27,239.0,240.0,1.09104,1.08618,2024-08-28 01:59:00+00:00,1.08983,0.0001832926829268,2024-08-27 05:59:00+00:00,1.0906700000000005,0.0001783333333333,1.08861,12.199999999999989,SELL,True,1.0897383536585368,1.0907591666666672,-8.40000000000396,3.616260162601,-12.01626016260496,2024,0.0,0.0,0
2024-08-28,240.0,240.0,1.0868700000000002,1.0798300000000003,2024-08-29 01:59:00+00:00,1.0805950000000002,0.0001761538461538,2024-08-28 05:59:00+00:00,1.089195,0.0001760416666666,1.0833500000000005,-27.55000000000063,BUY,True,1.080683076923077,1.0891069791666663,85.99999999999719,3.521955128204,82.47804487179319,2024,0.0,0.0,0
2024-08-29,239.0,240.0,1.086675,1.0832700000000002,2024-08-30 01:59:00+00:00,1.0838800000000002,0.0001746153846153,2024-08-29 05:59:00+00:00,1.081525,0.0001807142857142,1.0849725,-10.924999999999407,BUY,True,1.0839673076923078,1.081434642857143,-23.55000000000107,3.553296703295,-27.10329670329607,2024,0.0,0.0,0
2024-09-03,240.0,240.0,1.085385,1.08339,2024-09-04 01:59:00+00:00,1.0849650000000002,0.000155641025641,2024-09-03 05:59:00+00:00,1.08819,0.0001732432432432,1.0843875,5.775000000001196,SELL,True,1.0848871794871795,1.0882766216216215,-32.24999999999811,3.288842688842,-35.53884268884011,2024,0.0,0.0,0
2024-09-11,240.0,240.0,1.0893100000000002,1.0872800000000002,2024-09-12 01:59:00+00:00,1.088815,0.0001485714285714,2024-09-11 05:59:00+00:00,1.08338,0.0001927419354838,1.0882950000000002,5.199999999998539,SELL,True,1.0887407142857144,1.083476370967742,54.35000000000078,3.413133640552,50.93686635944879,2024,0.0,0.0,0
2024-09-12,238.0,240.0,1.08801,1.08664,2024-09-13 01:59:00+00:00,1.08801,0.0001441176470588,2024-09-12 05:59:00+00:00,1.0873050000000002,0.0001992857142856,1.087325,6.850000000000467,SELL,True,1.0879379411764705,1.087404642857143,7.049999999997336,3.4340336134439995,3.6159663865533367,2024,0.0,0.0,0
2024-09-16,238.0,239.0,1.09089,1.08878,2024-09-17 01:59:00+00:00,1.0906950000000002,0.0001518518518518,2024-09-16 05:59:00+00:00,1.089565,0.0001783999999999,1.089835,8.60000000000305,SELL,True,1.0906190740740742,1.0896541999999998,11.300000000002974,3.302518518517,7.997481481485974,2024,0.0,0.0,0
