night,n_bars,high,low,open,close,spread_p50_pips,spread_p95_pips,range_pips,session_ret_pips,session_ret_abs_pips,dow,year
2018-09-02,480,1.089165,1.085935,1.08663,1.088605,2.0364745011084997,2.828199672666699,32.29999999999844,19.7500000000006,19.7500000000006,6,2018
2018-09-03,480,1.09596,1.0899450000000002,1.09284,1.0946550000000002,2.088516483516,2.7976801378444973,60.14999999999881,18.15000000000122,18.15000000000122,0,2018
2018-09-04,480,1.102075,1.0950700000000002,1.0952700000000002,1.096345,2.0550510204080004,3.073169856459049,70.04999999999706,10.74999999999715,10.74999999999715,1,2018
2018-09-05,480,1.0921150000000002,1.088295,1.0918550000000002,1.08966,2.1999999999995,2.7816129032263985,38.200000000001566,-21.95000000000169,21.95000000000169,2,2018
2018-09-06,480,1.092945,1.0882850000000002,1.0919850000000002,1.0884300000000002,2.1143170731704997,2.6002631578946995,46.599999999998865,-35.54999999999975,35.54999999999975,3,2018
2018-09-09,480,1.0907950000000002,1.0871350000000002,1.08748,1.09006,2.0528594771234996,3.024931034482299,36.599999999999966,25.800000000000267,25.800000000000267,6,2018
2018-09-10,480,1.09132,1.0878550000000002,1.0904950000000002,1.09055,2.0683699633695,2.5821022727270995,34.64999999999829,0.5499999999969418,0.5499999999969418,0,2018
2018-09-11,480,1.091995,1.089395,1.09131,1.09037,2.169722222222,2.953806201550099,26.000000000001577,-9.399999999999409,9.399999999999409,1,2018
2018-09-12,480,1.0973100000000002,1.092505,1.09314,1.0956450000000002,2.025833333333,2.7751388888879496,48.0500000000017,25.050000000002015,25.050000000002015,2,2018
2018-09-13,480,1.09416,1.091885,1.093925,1.0936050000000002,2.071962004585,2.625749999998999,22.75000000000027,-3.1999999999987594,3.1999999999987594,3,2018
2018-09-16,480,1.092895,1.09115,1.09185,1.0913750000000002,2.0858058608055,2.8743311195440966,17.449999999998855,-4.7499999999978115,4.7499999999978115,6,2018
2018-09-17,480,1.09221,1.08784,1.08996,1.091695,2.113771551723,2.5327844574776996,43.69999999999985,17.35000000000042,17.35000000000042,0,2018
